                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2011,                  3.809,                 4.1588,                0.03159,                0.07682,                0.01064,                0.00308,                 2.9225,                 4.0542,                 5.1926,              0.0033175,              0.0033175,              0.0033175
                      2,                  3.094,                  3.307,                 3.7607,                0.11847,                0.17598,                0.06072,                0.01644,                 2.7138,                 3.0649,                 3.6116,              0.0066288,              0.0066288,              0.0066288
                      3,                 2.5564,                 2.8818,                 3.0864,                  0.208,                0.26397,                0.13865,                0.04445,                 2.5229,                 2.7474,                 3.2654,              0.0099182,              0.0099182,              0.0099182
                      4,                 2.1537,                 2.4933,                 2.6458,                0.39402,                0.36144,                0.30278,                 0.1224,                 1.9708,                 3.0286,                 2.5421,               0.009901,               0.009901,               0.009901
                      5,                 1.8993,                 2.1603,                 2.3355,                0.57675,                0.50838,                0.51169,                0.22943,                 1.8635,                 1.8683,                  2.351,               0.009868,               0.009868,               0.009868
                      6,                 1.7809,                 2.0353,                 2.2102,                0.66285,                0.55447,                0.58181,                 0.2902,                 1.7243,                 1.6481,                  2.192,               0.009835,               0.009835,               0.009835
                      7,                 1.7207,                 1.9691,                 2.1346,                0.65577,                0.56145,                0.60034,                0.30667,                 1.6686,                 1.6614,                 2.0889,               0.009802,               0.009802,               0.009802
                      8,                 1.6765,                 1.8846,                 2.0635,                0.62764,                0.57821,                0.59373,                0.29745,                 1.6407,                 1.9029,                 2.0301,               0.009769,               0.009769,               0.009769
                      9,                   1.62,                 1.8375,                 1.9945,                0.65095,                0.58799,                0.62341,                0.32677,                 1.6614,                 1.5862,                 2.0528,               0.009736,               0.009736,               0.009736
                     10,                 1.5815,                 1.8151,                 1.9707,                0.66067,                0.64446,                0.66777,                0.35525,                 1.5712,                 1.4383,                 1.9609,               0.009703,               0.009703,               0.009703
                     11,                  1.533,                 1.7392,                  1.927,                0.64808,                0.59916,                0.64607,                0.33379,                 1.5964,                 1.4758,                 1.9989,                0.00967,                0.00967,                0.00967
                     12,                 1.5107,                 1.7592,                 1.8963,                0.73172,                0.60569,                0.68931,                0.37569,                 1.5745,                 1.3923,                 1.9684,               0.009637,               0.009637,               0.009637
                     13,                 1.5335,                 1.7063,                 1.8988,                0.72969,                0.64848,                0.68718,                0.37994,                 1.5495,                 1.4022,                 1.9298,               0.009604,               0.009604,               0.009604
                     14,                 1.4938,                 1.7001,                 1.8748,                0.71005,                0.65363,                0.70068,                0.39201,                 1.5135,                 1.3183,                 1.8951,               0.009571,               0.009571,               0.009571
                     15,                 1.5115,                 1.6891,                 1.8769,                0.72718,                0.62541,                0.67516,                0.37876,                 1.5323,                 1.3422,                 1.9148,               0.009538,               0.009538,               0.009538
                     16,                 1.4338,                 1.6234,                 1.8317,                0.74538,                0.63547,                0.71582,                0.39863,                 1.4905,                 1.2375,                 1.8566,               0.009505,               0.009505,               0.009505
                     17,                 1.4597,                 1.6054,                 1.8375,                0.75333,                0.61872,                0.69629,                0.38256,                 1.5588,                 1.2973,                 1.9055,               0.009472,               0.009472,               0.009472
                     18,                 1.4263,                 1.6003,                 1.7948,                0.73975,                 0.6676,                0.71958,                0.41592,                 1.4737,                 1.2228,                 1.8211,               0.009439,               0.009439,               0.009439
                     19,                 1.4018,                 1.5466,                 1.7697,                0.72952,                0.68855,                0.75243,                0.42457,                 1.4578,                  1.221,                 1.8033,               0.009406,               0.009406,               0.009406
                     20,                 1.4204,                 1.5804,                  1.791,                0.75446,                0.68234,                0.74724,                0.42483,                 1.4859,                 1.2549,                 1.8324,               0.009373,               0.009373,               0.009373
                     21,                 1.3966,                 1.5178,                 1.7752,                0.73607,                 0.7067,                0.75751,                0.43704,                 1.4346,                 1.2151,                 1.7861,                0.00934,                0.00934,                0.00934
                     22,                 1.3975,                 1.5431,                 1.7734,                0.70353,                0.69413,                0.73402,                0.43418,                 1.4325,                 1.1644,                 1.7873,               0.009307,               0.009307,               0.009307
                     23,                 1.3628,                 1.5457,                 1.7421,                0.75219,                0.69693,                 0.7563,                0.43644,                 1.4098,                 1.1658,                 1.7477,               0.009274,               0.009274,               0.009274
                     24,                 1.3643,                 1.4943,                 1.7262,                 0.7451,                0.72765,                0.77191,                0.45291,                 1.4053,                 1.1278,                  1.759,               0.009241,               0.009241,               0.009241
                     25,                  1.379,                 1.4772,                 1.7258,                0.73891,                0.71788,                0.77183,                0.44737,                 1.3953,                  1.151,                 1.7491,               0.009208,               0.009208,               0.009208
                     26,                 1.3461,                  1.463,                 1.7075,                0.70364,                0.69832,                0.74739,                0.42341,                 1.4016,                 1.1535,                 1.7464,               0.009175,               0.009175,               0.009175
                     27,                 1.3516,                 1.4846,                 1.7025,                0.78103,                0.71734,                 0.7795,                0.45019,                 1.4094,                 1.1259,                 1.7489,               0.009142,               0.009142,               0.009142
                     28,                 1.3469,                  1.452,                 1.7074,                0.80321,                0.68855,                0.78918,                0.46457,                 1.3896,                 1.0847,                 1.7378,               0.009109,               0.009109,               0.009109
                     29,                 1.3211,                  1.449,                 1.6919,                0.79468,                0.67737,                0.76274,                0.44177,                 1.4261,                 1.1477,                 1.7472,               0.009076,               0.009076,               0.009076
                     30,                 1.3048,                 1.4299,                 1.6811,                0.76792,                0.66341,                0.75769,                0.42907,                 1.4074,                 1.1296,                 1.7321,               0.009043,               0.009043,               0.009043
                     31,                 1.3133,                 1.3964,                 1.6756,                0.79126,                0.72207,                0.79536,                0.46439,                 1.4161,                 1.0611,                 1.7246,                0.00901,                0.00901,                0.00901
                     32,                 1.2786,                 1.3866,                 1.6477,                0.80557,                0.71788,                0.79533,                0.45363,                 1.4102,                 1.0744,                 1.7288,               0.008977,               0.008977,               0.008977
                     33,                  1.304,                 1.4107,                  1.657,                0.81043,                0.70455,                0.78585,                0.44482,                 1.4187,                 1.1121,                   1.76,               0.008944,               0.008944,               0.008944
                     34,                 1.3092,                 1.4227,                 1.6665,                 0.7691,                0.69274,                 0.7779,                0.44928,                 1.4088,                 1.0949,                 1.7055,               0.008911,               0.008911,               0.008911
                     35,                 1.2879,                 1.3845,                 1.6509,                0.76258,                0.73122,                0.78135,                0.44588,                 1.3706,                 1.0623,                 1.6892,               0.008878,               0.008878,               0.008878
                     36,                 1.2855,                 1.3722,                 1.6426,                0.77232,                0.72013,                0.77652,                0.44914,                 1.3754,                 1.0647,                 1.6781,               0.008845,               0.008845,               0.008845
                     37,                 1.2679,                 1.3601,                 1.6279,                0.74734,                0.74441,                0.78288,                 0.4586,                 1.3456,                 1.0981,                 1.6858,               0.008812,               0.008812,               0.008812
