                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2309,                 1.3039,                 1.6528,                0.77923,                0.73453,                0.81749,                0.48883,                 1.3048,                 1.0288,                 1.6802,               0.008878,               0.008878,               0.008878
                     36,                 1.2301,                 1.2894,                 1.6424,                0.79208,                0.72765,                0.81156,                0.48156,                 1.2989,                 1.0032,                 1.6949,               0.008845,               0.008845,               0.008845
                     37,                 1.2073,                 1.2915,                 1.6288,                0.79223,                 0.7514,                0.81286,                0.48888,                 1.2834,                 1.0284,                 1.6769,               0.008812,               0.008812,               0.008812
                     38,                 1.2158,                 1.2898,                 1.6361,                0.84447,                0.75978,                0.84136,                0.51278,                 1.2773,                0.96984,                 1.6547,               0.008779,               0.008779,               0.008779
                     39,                  1.164,                 1.2442,                 1.6019,                0.79451,                0.74302,                0.82717,                0.50682,                 1.2725,                0.96766,                 1.6427,               0.008746,               0.008746,               0.008746
                     40,                 1.2149,                 1.2579,                 1.6382,                0.76737,                0.72067,                0.78426,                 0.4729,                 1.3059,                 1.0678,                 1.6998,               0.008713,               0.008713,               0.008713
                     41,                 1.1798,                 1.2413,                 1.6139,                 0.7824,                0.73821,                0.81458,                0.49563,                  1.312,                0.98941,                 1.6973,                0.00868,                0.00868,                0.00868
                     42,                 1.2127,                 1.2606,                 1.6185,                 0.8142,                0.77235,                0.83828,                0.50354,                  1.294,                0.94759,                 1.6655,               0.008647,               0.008647,               0.008647
                     43,                 1.1885,                 1.2297,                 1.6124,                0.78603,                0.76959,                0.83586,                0.50845,                 1.2771,                0.93184,                 1.6518,               0.008614,               0.008614,               0.008614
                     44,                 1.1869,                 1.2385,                 1.6007,                0.82394,                 0.7514,                0.83194,                 0.5083,                 1.3021,                0.92816,                 1.6665,               0.008581,               0.008581,               0.008581
                     45,                 1.1752,                 1.2278,                 1.5997,                0.81918,                0.77654,                0.83857,                0.50295,                 1.3094,                 0.9428,                 1.6782,               0.008548,               0.008548,               0.008548
                     46,                 1.1994,                 1.2527,                 1.6155,                0.83416,                 0.7933,                0.85809,                0.53131,                 1.2759,                0.89159,                 1.6334,               0.008515,               0.008515,               0.008515
                     47,                  1.194,                 1.2359,                 1.5989,                0.81173,                0.75838,                0.82577,                0.50458,                 1.2835,                0.95396,                 1.6466,               0.008482,               0.008482,               0.008482
                     48,                 1.1701,                  1.208,                 1.5942,                0.80947,                0.75951,                0.83236,                0.50386,                  1.277,                0.96029,                 1.6494,               0.008449,               0.008449,               0.008449
                     49,                 1.1598,                 1.2134,                 1.5685,                0.83485,                0.77235,                0.85156,                 0.5106,                 1.2808,                0.92613,                 1.6395,               0.008416,               0.008416,               0.008416
                     50,                 1.1825,                 1.2353,                 1.5847,                0.82307,                0.75978,                0.84539,                0.51573,                 1.2792,                0.91932,                 1.6369,               0.008383,               0.008383,               0.008383
                     51,                 1.1621,                 1.2068,                 1.5817,                0.81146,                0.75838,                0.83675,                0.51964,                 1.2657,                0.90332,                 1.6425,                0.00835,                0.00835,                0.00835
                     52,                 1.1382,                 1.1911,                 1.5556,                0.84034,                0.76449,                0.84942,                0.51452,                 1.2653,                0.90459,                 1.6219,               0.008317,               0.008317,               0.008317
                     53,                 1.1533,                 1.1917,                 1.5649,                0.82644,                0.78492,                0.84935,                0.52236,                  1.276,                0.88504,                 1.6274,               0.008284,               0.008284,               0.008284
                     54,                 1.1396,                 1.2031,                 1.5587,                0.77625,                0.77095,                0.82989,                0.51588,                 1.2405,                 0.9358,                 1.6092,               0.008251,               0.008251,               0.008251
