                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2598,                 1.3191,                 1.6251,                0.77672,                0.75309,                0.80418,                0.48309,                 1.3069,                0.97671,                 1.6137,               0.008317,               0.008317,               0.008317
                     36,                 1.2577,                 1.2945,                   1.62,                0.79212,                0.71648,                0.80296,                0.48076,                 1.2888,                 1.0019,                 1.6151,              0.0082675,              0.0082675,              0.0082675
                     37,                  1.251,                 1.3184,                 1.6211,                0.74551,                0.74873,                0.79607,                0.48368,                 1.2899,                  0.977,                 1.6228,               0.008218,               0.008218,               0.008218
                     38,                 1.2266,                 1.2866,                 1.5993,                0.80607,                0.72565,                0.80493,                0.48389,                 1.2859,                0.94598,                 1.6158,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.2285,                  1.285,                  1.602,                0.84106,                0.71648,                0.80674,                0.47891,                 1.2985,                 1.0017,                 1.6223,               0.008119,               0.008119,               0.008119
                     40,                 1.2168,                 1.2638,                 1.5858,                 0.7791,                0.76955,                0.81695,                0.49352,                 1.2707,                0.93463,                 1.5889,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.2177,                 1.2764,                 1.5805,                0.81856,                 0.7309,                0.80703,                0.48246,                 1.3108,                0.96522,                 1.6152,                0.00802,                0.00802,                0.00802
                     42,                 1.2053,                 1.2704,                 1.5885,                0.81088,                0.73058,                0.80352,                0.48299,                 1.2949,                0.98614,                 1.6183,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.1998,                 1.2625,                 1.5856,                0.80083,                   0.75,                0.82173,                0.48653,                 1.2965,                0.94184,                  1.614,               0.007921,               0.007921,               0.007921
                     44,                   1.22,                 1.2609,                 1.5817,                0.84002,                0.72603,                0.81856,                0.49069,                 1.2883,                0.94833,                 1.6115,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.2088,                 1.2575,                 1.5714,                0.81478,                0.74341,                0.82103,                0.50622,                 1.2746,                0.94034,                 1.5915,               0.007822,               0.007822,               0.007822
                     46,                 1.1873,                 1.2344,                 1.5459,                  0.806,                0.74273,                0.81624,                 0.4999,                  1.279,                0.95084,                 1.5752,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.1919,                 1.2364,                  1.556,                0.76483,                0.74946,                0.80769,                0.48349,                 1.2795,                0.96762,                 1.5785,               0.007723,               0.007723,               0.007723
                     48,                 1.1946,                 1.2159,                  1.556,                  0.799,                 0.7514,                0.83012,                0.50486,                 1.2797,                0.92076,                  1.576,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.1973,                 1.2226,                 1.5531,                0.82039,                0.74441,                0.81112,                0.49668,                 1.2814,                0.93565,                 1.5983,               0.007624,               0.007624,               0.007624
                     50,                 1.1784,                 1.2107,                 1.5483,                0.80665,                0.75698,                0.82132,                0.50135,                 1.2472,                0.91247,                  1.551,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.1895,                 1.2023,                 1.5473,                0.83786,                0.73464,                0.83243,                0.51402,                 1.2345,                0.88203,                 1.5427,               0.007525,               0.007525,               0.007525
                     52,                 1.1723,                  1.214,                 1.5375,                0.82535,                0.73262,                0.82614,                0.51126,                 1.2495,                0.91604,                 1.5539,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.1749,                 1.1885,                 1.5278,                0.79988,                0.75419,                0.82181,                 0.5068,                 1.2419,                0.90555,                 1.5463,               0.007426,               0.007426,               0.007426
                     54,                 1.1732,                  1.182,                 1.5324,                0.84842,                0.72701,                0.82956,                 0.5061,                 1.2305,                0.90856,                 1.5356,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.1773,                 1.1993,                 1.5334,                0.82485,                 0.7564,                0.83431,                0.51491,                 1.2586,                0.88652,                 1.5638,               0.007327,               0.007327,               0.007327
                     56,                 1.1601,                 1.1964,                 1.5199,                0.81435,                0.72293,                0.81915,                0.49098,                  1.254,                0.93133,                 1.5648,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.1689,                 1.2069,                 1.5296,                 0.8108,                0.77793,                0.83864,                0.51475,                 1.2275,                0.87652,                 1.5358,               0.007228,               0.007228,               0.007228
                     58,                 1.1509,                 1.1675,                 1.5142,                0.81569,                 0.7081,                0.81447,                0.50666,                 1.2414,                0.89455,                 1.5438,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.1499,                  1.157,                 1.5129,                0.83208,                0.75559,                0.83697,                0.52541,                 1.2165,                0.88097,                 1.5325,               0.007129,               0.007129,               0.007129
                     60,                 1.1417,                 1.1653,                 1.5097,                0.82558,                0.76676,                0.83759,                 0.5243,                 1.2469,                 0.8562,                  1.546,              0.0070795,              0.0070795,              0.0070795
                     61,                  1.134,                 1.1566,                 1.5028,                0.82052,                0.79812,                0.85447,                0.52996,                 1.2173,                0.85803,                 1.5137,                0.00703,                0.00703,                0.00703
                     62,                 1.1402,                 1.1516,                 1.4961,                0.82494,                0.77095,                0.83226,                0.51451,                 1.2398,                0.87955,                  1.547,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.1301,                 1.1398,                 1.4928,                0.80935,                   0.75,                0.82281,                0.51337,                 1.2269,                  0.884,                  1.531,               0.006931,               0.006931,               0.006931
