                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2266,                 1.2697,                 1.6531,                0.77247,                0.73324,                0.81675,                0.48513,                 1.3163,                0.96143,                 1.6957,               0.008317,               0.008317,               0.008317
                     36,                 1.2198,                 1.2416,                 1.6345,                0.79867,                0.74581,                0.81388,                0.49217,                 1.2909,                0.95194,                  1.698,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.2179,                 1.2527,                 1.6487,                0.79707,                 0.7486,                0.82037,                0.49045,                  1.286,                0.95158,                 1.6888,               0.008218,               0.008218,               0.008218
                     38,                 1.1907,                 1.2388,                 1.6198,                0.81511,                0.73272,                0.83017,                0.49656,                 1.2806,                0.93173,                  1.668,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.1934,                 1.2366,                 1.6238,                 0.7744,                0.76955,                0.81294,                0.49087,                 1.2521,                0.94781,                 1.6491,               0.008119,               0.008119,               0.008119
                     40,                 1.1732,                  1.205,                 1.6019,                0.81633,                0.76676,                0.84054,                0.51469,                 1.2921,                0.90272,                 1.6753,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.1726,                 1.2083,                 1.5983,                0.78303,                0.76676,                0.82524,                0.49525,                 1.2915,                0.92098,                 1.6726,                0.00802,                0.00802,                0.00802
                     42,                 1.1722,                 1.2108,                 1.6115,                 0.8275,                0.76816,                0.84912,                0.51941,                 1.2338,                0.90926,                 1.6232,              0.0079705,              0.0079705,              0.0079705
                     43,                  1.165,                 1.2121,                 1.6087,                0.81552,                0.74708,                0.83196,                 0.4956,                 1.2768,                0.92579,                 1.6666,               0.007921,               0.007921,               0.007921
                     44,                 1.1851,                 1.2042,                 1.5991,                0.82118,                0.77793,                0.84531,                0.51532,                 1.2437,                0.90955,                 1.6151,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.1678,                 1.1985,                 1.5912,                 0.8181,                 0.7789,                0.84981,                0.51981,                 1.2835,                0.92367,                 1.6402,               0.007822,               0.007822,               0.007822
                     46,                 1.1505,                 1.1813,                 1.5703,                0.82876,                0.75032,                0.83065,                0.50039,                 1.2502,                0.95769,                 1.6296,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.1501,                 1.1837,                 1.5766,                0.80961,                0.79584,                 0.8447,                0.51208,                 1.2635,                0.88102,                 1.6378,               0.007723,               0.007723,               0.007723
                     48,                 1.1617,                 1.1777,                 1.5836,                0.82319,                0.79469,                0.85417,                0.53501,                 1.2401,                0.84236,                 1.6034,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.1468,                 1.1623,                 1.5652,                0.83563,                0.77394,                0.84537,                0.52093,                  1.238,                0.86047,                 1.6114,               0.007624,               0.007624,               0.007624
                     50,                 1.1322,                 1.1608,                 1.5632,                0.81773,                0.76816,                0.83111,                0.51694,                 1.2528,                0.87089,                 1.6288,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.1456,                 1.1542,                 1.5655,                0.79624,                0.77502,                0.83258,                0.50901,                 1.2686,                0.88383,                 1.6538,               0.007525,               0.007525,               0.007525
                     52,                 1.1387,                 1.1665,                 1.5584,                0.81568,                0.77258,                0.84198,                0.52397,                 1.2399,                0.88183,                 1.5895,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.1314,                 1.1404,                 1.5436,                0.78492,                0.74581,                0.82987,                0.50913,                 1.2427,                0.92088,                 1.6096,               0.007426,               0.007426,               0.007426
                     54,                 1.1366,                 1.1248,                  1.553,                0.83351,                0.73743,                0.83719,                0.52362,                 1.2383,                0.88694,                  1.608,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.1386,                 1.1431,                 1.5553,                0.82812,                   0.75,                0.83676,                0.51615,                  1.263,                0.88148,                 1.6343,               0.007327,               0.007327,               0.007327
                     56,                 1.1209,                 1.1412,                 1.5496,                0.83522,                0.76257,                0.83978,                0.51166,                 1.2363,                0.89043,                  1.615,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.1251,                 1.1549,                 1.5464,                 0.8495,                0.76816,                0.85666,                0.53136,                  1.232,                0.85477,                 1.6097,               0.007228,               0.007228,               0.007228
                     58,                 1.1104,                 1.1194,                 1.5379,                0.85769,                0.75978,                0.85171,                0.52925,                 1.2211,                0.84518,                 1.5862,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.1021,                 1.1125,                 1.5312,                0.81086,                0.78212,                0.85055,                0.53602,                 1.2091,                0.85357,                 1.5794,               0.007129,               0.007129,               0.007129
                     60,                  1.107,                  1.111,                 1.5334,                0.79943,                0.77378,                0.83999,                0.52668,                 1.2523,                 0.8512,                 1.6132,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.0929,                 1.1055,                 1.5169,                0.82868,                 0.7919,                0.85655,                0.53426,                 1.2105,                0.82603,                 1.5822,                0.00703,                0.00703,                0.00703
                     62,                 1.1005,                 1.0959,                 1.5198,                0.83128,                0.75004,                0.84458,                0.52973,                 1.2076,                0.85745,                 1.5752,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.0975,                 1.0916,                  1.527,                0.83798,                0.74405,                0.83524,                0.52231,                 1.2256,                0.86405,                 1.6083,               0.006931,               0.006931,               0.006931
                     64,                 1.0863,                 1.0771,                  1.514,                0.85017,                  0.737,                0.84476,                0.52739,                 1.2283,                0.83886,                 1.6038,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.0734,                 1.0791,                 1.5024,                0.81779,                0.74593,                0.83668,                0.52711,                 1.2187,                0.86236,                 1.5928,               0.006832,               0.006832,               0.006832
                     66,                 1.0854,                 1.0597,                 1.5096,                0.84135,                0.75559,                0.84718,                0.52351,                 1.2204,                0.84051,                 1.5851,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.0764,                 1.0883,                 1.4978,                0.82824,                0.77654,                0.85027,                0.53486,                 1.2082,                0.86491,                 1.5827,               0.006733,               0.006733,               0.006733
                     68,                 1.0712,                 1.0631,                 1.4979,                 0.7982,                0.80654,                0.85759,                0.54694,                 1.2043,                 0.8112,                 1.5748,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.0703,                 1.0756,                 1.5041,                0.80755,                0.77095,                  0.846,                0.53223,                 1.2194,                0.84151,                 1.5904,               0.006634,               0.006634,               0.006634
                     70,                 1.0544,                 1.0733,                 1.4945,                0.83185,                0.76692,                0.85409,                0.54177,                 1.2184,                0.80295,                  1.598,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.0857,                 1.0634,                 1.5145,                0.81133,                0.73184,                0.82211,                0.51918,                 1.2211,                0.88028,                  1.583,               0.006535,               0.006535,               0.006535
                     72,                 1.0567,                 1.0789,                 1.4931,                 0.8274,                0.78352,                0.85094,                0.53727,                 1.2007,                0.81229,                 1.5792,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.0443,                 1.0389,                 1.4695,                0.80314,                0.82621,                0.86438,                0.54582,                 1.2036,                0.77864,                 1.5695,               0.006436,               0.006436,               0.006436
                     74,                 1.0471,                 1.0407,                 1.4745,                0.82954,                0.77793,                0.85022,                0.53758,                 1.1966,                0.81889,                 1.5578,              0.0063865,              0.0063865,              0.0063865
                     75,                  1.057,                 1.0342,                 1.4748,                0.82683,                0.76022,                0.84377,                0.53558,                 1.1983,                0.83203,                 1.5647,               0.006337,               0.006337,               0.006337
