                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2357,                 1.1856,                 1.5222,                0.75982,                0.68436,                0.76439,                0.44507,                 1.4145,                 1.0658,                 1.6274,               0.008878,               0.008878,               0.008878
                     36,                 1.2285,                 1.1789,                 1.5143,                0.78743,                0.69845,                0.78582,                0.46394,                 1.3919,                 1.0012,                 1.6252,               0.008845,               0.008845,               0.008845
                     37,                 1.2169,                  1.172,                 1.5104,                0.76362,                0.70112,                0.78073,                0.46214,                 1.4222,                 1.0165,                  1.635,               0.008812,               0.008812,               0.008812
                     38,                 1.2325,                 1.1666,                 1.5293,                0.76736,                0.73324,                0.79929,                0.47525,                  1.358,                 1.0011,                 1.5889,               0.008779,               0.008779,               0.008779
                     39,                 1.1747,                 1.1294,                 1.4812,                0.79074,                 0.7095,                 0.7949,                0.47134,                 1.3931,                0.99427,                 1.5992,               0.008746,               0.008746,               0.008746
                     40,                 1.2016,                 1.1254,                 1.5044,                0.76834,                0.73191,                0.79718,                0.47814,                 1.3758,                0.97578,                 1.5895,               0.008713,               0.008713,               0.008713
                     41,                 1.1788,                 1.1254,                 1.4844,                0.78133,                0.70865,                0.78688,                0.46994,                 1.3928,                 0.9763,                 1.6095,                0.00868,                0.00868,                0.00868
                     42,                 1.2172,                 1.1377,                 1.4848,                 0.8264,                0.70531,                0.80408,                0.47457,                 1.3822,                0.94844,                 1.5953,               0.008647,               0.008647,               0.008647
                     43,                  1.188,                 1.1223,                 1.4936,                0.82587,                0.72202,                0.82034,                0.48719,                 1.3646,                0.90616,                 1.5834,               0.008614,               0.008614,               0.008614
                     44,                 1.1941,                  1.116,                 1.4865,                 0.8132,                0.72346,                0.80543,                0.46722,                 1.3881,                0.93886,                 1.5992,               0.008581,               0.008581,               0.008581
                     45,                 1.1503,                  1.085,                 1.4609,                0.78707,                0.75372,                0.81875,                0.47665,                 1.3836,                0.94588,                 1.5881,               0.008548,               0.008548,               0.008548
                     46,                 1.1776,                 1.1084,                 1.4784,                0.77784,                0.75795,                0.82337,                0.48846,                 1.3793,                0.91783,                 1.6012,               0.008515,               0.008515,               0.008515
                     47,                 1.1841,                 1.0951,                 1.4569,                0.76622,                0.74302,                0.79809,                0.46293,                 1.3909,                0.94513,                 1.6071,               0.008482,               0.008482,               0.008482
                     48,                 1.1463,                 1.0864,                 1.4484,                0.81328,                0.71788,                0.81357,                0.48204,                 1.3756,                0.95934,                 1.5897,               0.008449,               0.008449,               0.008449
                     49,                 1.1482,                 1.0848,                 1.4474,                0.78783,                0.77514,                0.82863,                0.48367,                 1.3604,                 0.9202,                 1.5636,               0.008416,               0.008416,               0.008416
                     50,                 1.1668,                 1.1051,                  1.449,                0.80919,                0.74629,                0.82264,                0.47656,                 1.4012,                0.94604,                 1.5921,               0.008383,               0.008383,               0.008383
                     51,                 1.1493,                  1.083,                 1.4474,                0.81747,                0.75978,                 0.8329,                0.49839,                  1.351,                0.89982,                  1.562,                0.00835,                0.00835,                0.00835
                     52,                 1.1323,                 1.0695,                 1.4274,                0.77649,                0.76536,                0.81399,                0.48901,                 1.3281,                0.89729,                 1.5482,               0.008317,               0.008317,               0.008317
                     53,                 1.1322,                  1.071,                 1.4277,                0.81609,                0.76117,                  0.833,                 0.5032,                 1.3359,                0.89915,                 1.5577,               0.008284,               0.008284,               0.008284
                     54,                 1.1282,                 1.0696,                  1.433,                0.80528,                0.77933,                 0.8185,                0.49563,                 1.3322,                0.91636,                 1.5446,               0.008251,               0.008251,               0.008251
                     55,                 1.1386,                 1.0739,                 1.4467,                0.79278,                0.74807,                0.81664,                0.49331,                 1.3465,                0.90991,                 1.5453,               0.008218,               0.008218,               0.008218
                     56,                 1.1263,                 1.0631,                 1.4334,                0.81855,                0.75279,                0.83372,                0.49054,                 1.3519,                0.90872,                 1.5633,               0.008185,               0.008185,               0.008185
                     57,                 1.1379,                 1.0622,                 1.4328,                0.82748,                0.73324,                0.83437,                0.50412,                 1.3334,                0.87928,                  1.544,               0.008152,               0.008152,               0.008152
                     58,                 1.1206,                 1.0226,                 1.4009,                0.79278,                0.76409,                0.82662,                0.49403,                 1.3454,                0.89812,                  1.561,               0.008119,               0.008119,               0.008119
                     59,                 1.1067,                  1.047,                 1.4121,                0.80231,                0.76397,                0.84084,                0.51009,                 1.3228,                0.89993,                 1.5407,               0.008086,               0.008086,               0.008086
                     60,                 1.1042,                 1.0182,                 1.3963,                0.76744,                0.77374,                0.82463,                0.48669,                 1.3496,                0.90877,                 1.5657,               0.008053,               0.008053,               0.008053
                     61,                 1.0775,                 1.0017,                  1.385,                0.83559,                0.78212,                0.83797,                0.50729,                 1.3269,                0.87327,                 1.5328,                0.00802,                0.00802,                0.00802
                     62,                 1.1001,                 1.0103,                 1.4054,                0.80378,                0.76664,                0.82865,                0.50058,                 1.3448,                0.87805,                 1.5534,               0.007987,               0.007987,               0.007987
                     63,                 1.0929,                 1.0114,                  1.387,                0.83282,                   0.75,                0.83032,                0.51166,                   1.33,                0.88433,                 1.5458,               0.007954,               0.007954,               0.007954
                     64,                 1.0675,                0.99352,                 1.3828,                0.82819,                0.75419,                0.81999,                 0.4895,                 1.3706,                 0.8925,                 1.5739,               0.007921,               0.007921,               0.007921
                     65,                 1.0748,                0.97593,                  1.381,                0.78222,                0.76397,                0.81588,                0.48798,                 1.3372,                0.91066,                 1.5415,               0.007888,               0.007888,               0.007888
                     66,                 1.0877,                 1.0066,                 1.3966,                0.81308,                0.73513,                0.82158,                0.49118,                 1.3548,                 0.8846,                 1.5476,               0.007855,               0.007855,               0.007855
                     67,                 1.0589,                0.96376,                 1.3661,                0.83002,                 0.7486,                0.83141,                0.50787,                 1.3485,                0.85872,                 1.5683,               0.007822,               0.007822,               0.007822
                     68,                 1.0579,                0.98788,                 1.3661,                0.81249,                0.78672,                  0.829,                0.50393,                 1.3502,                0.85632,                 1.5601,               0.007789,               0.007789,               0.007789
                     69,                 1.0601,                 1.0002,                  1.371,                0.79269,                0.78073,                 0.8258,                0.49869,                  1.341,                0.89008,                 1.5294,               0.007756,               0.007756,               0.007756
                     70,                  1.052,                0.95923,                 1.3569,                0.83081,                0.74302,                0.82477,                0.50382,                 1.3062,                0.88882,                 1.5331,               0.007723,               0.007723,               0.007723
                     71,                 1.0675,                0.97389,                 1.3599,                0.79255,                0.79749,                0.82745,                0.49717,                 1.3518,                0.87561,                 1.5611,                0.00769,                0.00769,                0.00769
                     72,                 1.0519,                0.95964,                 1.3569,                0.82092,                 0.7811,                0.82575,                0.51042,                 1.3274,                0.87596,                 1.5588,               0.007657,               0.007657,               0.007657
                     73,                 1.0795,                 0.9713,                 1.3825,                0.83192,                0.77425,                0.83251,                0.50336,                 1.3258,                0.88645,                 1.5288,               0.007624,               0.007624,               0.007624
                     74,                 1.0651,                0.95864,                 1.3778,                0.83513,                0.76676,                0.82839,                0.50499,                 1.3265,                0.87991,                 1.5386,               0.007591,               0.007591,               0.007591
                     75,                 1.0536,                0.96304,                 1.3546,                0.81803,                0.76599,                0.82761,                0.50507,                 1.3433,                0.86346,                 1.5557,               0.007558,               0.007558,               0.007558
                     76,                 1.0429,                0.92674,                  1.355,                0.84336,                0.75698,                0.83561,                0.50093,                 1.3355,                0.87934,                 1.5477,               0.007525,               0.007525,               0.007525
                     77,                  1.059,                0.95562,                 1.3487,                0.79308,                0.78155,                0.83237,                0.50538,                 1.3227,                0.85054,                 1.5299,               0.007492,               0.007492,               0.007492
                     78,                 1.0353,                0.92425,                 1.3383,                0.81382,                0.75698,                0.82274,                0.50223,                 1.3225,                0.87649,                 1.5426,               0.007459,               0.007459,               0.007459
                     79,                 1.0464,                0.95694,                 1.3447,                 0.8376,                0.76357,                0.82803,                0.50917,                 1.3048,                0.83887,                 1.5327,               0.007426,               0.007426,               0.007426
                     80,                  1.005,                0.92045,                 1.3234,                0.83126,                0.77062,                0.83166,                0.50389,                 1.3231,                0.84863,                 1.5413,               0.007393,               0.007393,               0.007393
                     81,                 1.0471,                0.93703,                 1.3437,                0.82724,                0.76239,                0.81893,                0.49836,                  1.321,                0.86653,                  1.531,                0.00736,                0.00736,                0.00736
                     82,                 1.0236,                0.92261,                 1.3388,                0.81813,                0.77374,                0.82693,                0.50774,                  1.328,                0.86343,                 1.5508,               0.007327,               0.007327,               0.007327
                     83,                 1.0283,                0.96003,                 1.3426,                 0.8397,                0.77933,                0.83244,                0.50138,                 1.3388,                0.84536,                  1.545,               0.007294,               0.007294,               0.007294
                     84,                 1.0329,                 0.9225,                 1.3281,                0.84595,                0.74395,                0.82634,                0.50315,                 1.3276,                0.85609,                 1.5346,               0.007261,               0.007261,               0.007261
                     85,                 1.0196,                0.90931,                 1.3232,                0.82046,                 0.7933,                0.84074,                0.50967,                 1.3128,                0.85412,                 1.5215,               0.007228,               0.007228,               0.007228
                     86,                0.98697,                 0.9073,                 1.3059,                0.82616,                0.77659,                0.83816,                0.50912,                 1.3316,                0.83626,                 1.5488,               0.007195,               0.007195,               0.007195
                     87,                 1.0155,                 0.9088,                 1.3211,                0.80899,                0.77793,                0.82412,                0.50756,                 1.3295,                 0.8526,                 1.5547,               0.007162,               0.007162,               0.007162
                     88,                 1.0048,                0.89673,                 1.3153,                0.84301,                0.77095,                0.83721,                0.51991,                 1.3065,                0.83072,                 1.5189,               0.007129,               0.007129,               0.007129
                     89,                 1.0025,                0.89069,                 1.3149,                0.84033,                 0.7718,                0.83868,                0.51644,                 1.3301,                0.83081,                 1.5436,               0.007096,               0.007096,               0.007096
                     90,                0.97723,                 0.8837,                 1.3026,                0.85185,                0.74302,                0.83738,                0.50967,                 1.3064,                0.86259,                 1.5281,               0.007063,               0.007063,               0.007063
                     91,                0.99105,                0.87597,                 1.3011,                0.85215,                0.75838,                0.82555,                0.50927,                 1.3107,                0.84413,                 1.5344,                0.00703,                0.00703,                0.00703
                     92,                0.99381,                0.88014,                 1.3077,                0.83647,                0.78582,                0.84086,                0.51592,                 1.3142,                0.81924,                 1.5333,               0.006997,               0.006997,               0.006997
                     93,                0.98929,                 0.8891,                 1.3024,                0.85001,                0.78492,                0.83725,                0.51603,                 1.3031,                 0.8189,                 1.5166,               0.006964,               0.006964,               0.006964
                     94,                 0.9777,                0.88455,                  1.304,                0.85186,                0.77933,                0.83554,                0.51139,                 1.3211,                0.83647,                 1.5464,               0.006931,               0.006931,               0.006931
                     95,                0.97772,                0.86701,                 1.3022,                0.86096,                0.77514,                0.84368,                0.51375,                 1.3256,                0.83487,                 1.5495,               0.006898,               0.006898,               0.006898
                     96,                0.96738,                 0.8802,                  1.289,                0.85069,                0.77654,                0.83982,                0.50856,                 1.3361,                0.83834,                 1.5517,               0.006865,               0.006865,               0.006865
                     97,                0.98747,                0.84764,                 1.2888,                 0.8431,                0.77095,                0.82598,                0.50542,                 1.3208,                0.85273,                 1.5387,               0.006832,               0.006832,               0.006832
                     98,                0.95828,                0.84314,                 1.2817,                 0.8482,                0.75838,                0.83168,                0.51089,                 1.3121,                0.85125,                 1.5307,               0.006799,               0.006799,               0.006799
                     99,                0.96598,                0.85842,                 1.2869,                0.85744,                0.77235,                0.83423,                 0.5149,                 1.3163,                 0.8549,                 1.5369,               0.006766,               0.006766,               0.006766
                    100,                0.96529,                0.84671,                 1.2803,                0.84847,                0.78985,                0.84235,                0.51571,                 1.3118,                0.83208,                 1.5409,               0.006733,               0.006733,               0.006733
                    101,                0.94279,                0.83173,                 1.2657,                0.81713,                 0.7801,                0.83086,                0.51091,                 1.3347,                0.84449,                 1.5677,                 0.0067,                 0.0067,                 0.0067
                    102,                0.95763,                0.84757,                 1.2933,                0.83674,                0.77374,                0.83147,                0.51659,                 1.3178,                0.84061,                 1.5391,               0.006667,               0.006667,               0.006667
                    103,                0.93532,                0.84142,                 1.2703,                0.84655,                0.77793,                0.83028,                0.51788,                 1.3063,                0.83326,                 1.5286,               0.006634,               0.006634,               0.006634
                    104,                0.96762,                0.82861,                 1.2748,                0.86275,                0.73324,                0.83202,                0.51825,                 1.2836,                0.85443,                 1.4977,               0.006601,               0.006601,               0.006601
                    105,                0.96005,                0.83072,                 1.2895,                0.85407,                0.76955,                0.83339,                0.51963,                 1.2863,                  0.842,                 1.5232,               0.006568,               0.006568,               0.006568
                    106,                0.95144,                0.82579,                 1.2707,                 0.8614,                0.77095,                0.83679,                0.51434,                 1.3169,                0.87118,                 1.5273,               0.006535,               0.006535,               0.006535
                    107,                0.92053,                0.80665,                  1.256,                0.86299,                0.77514,                0.84019,                0.51614,                 1.3071,                0.83363,                 1.5267,               0.006502,               0.006502,               0.006502
                    108,                0.93459,                0.81327,                 1.2632,                0.82573,                0.77514,                0.82411,                0.50965,                 1.3146,                0.85318,                  1.547,               0.006469,               0.006469,               0.006469
