                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.275,                 1.3483,                 1.6491,                   0.76,                0.75627,                0.80166,                0.46675,                 1.3499,                 1.0276,                 1.6819,               0.008878,               0.008878,               0.008878
                     36,                 1.2669,                 1.3121,                 1.6369,                0.77169,                0.65618,                0.75401,                0.43917,                 1.3476,                 1.1286,                 1.7027,               0.008845,               0.008845,               0.008845
                     37,                 1.2603,                 1.3371,                 1.6442,                0.81063,                0.74733,                0.81492,                0.47887,                 1.3133,                  0.976,                 1.6531,               0.008812,               0.008812,               0.008812
                     38,                 1.2474,                 1.3059,                 1.6252,                0.78168,                0.76816,                 0.8246,                0.49478,                 1.2835,                0.92156,                  1.634,               0.008779,               0.008779,               0.008779
                     39,                 1.2355,                 1.3112,                  1.621,                 0.8026,                0.74388,                0.80711,                0.48022,                  1.296,                0.94542,                 1.6507,               0.008746,               0.008746,               0.008746
                     40,                 1.2293,                 1.2804,                 1.6168,                0.77037,                0.76117,                0.81612,                0.49193,                 1.2783,                0.94769,                 1.6221,               0.008713,               0.008713,               0.008713
                     41,                 1.2283,                 1.2861,                 1.6059,                0.79716,                0.72626,                0.80774,                0.49134,                 1.2914,                0.96918,                 1.6329,                0.00868,                0.00868,                0.00868
                     42,                 1.2193,                 1.2839,                 1.6116,                0.82719,                0.73184,                 0.8228,                0.49646,                 1.3099,                0.95795,                 1.6258,               0.008647,               0.008647,               0.008647
                     43,                 1.2157,                 1.2905,                 1.6091,                 0.8083,                0.76117,                0.82651,                0.49228,                 1.2828,                 0.9301,                 1.6276,               0.008614,               0.008614,               0.008614
                     44,                  1.236,                   1.28,                 1.6057,                0.79909,                0.75838,                0.82303,                0.49933,                 1.2777,                0.91943,                 1.6119,               0.008581,               0.008581,               0.008581
                     45,                 1.2157,                 1.2723,                    1.6,                0.82769,                0.72455,                0.82489,                0.49897,                 1.2716,                0.95689,                 1.6007,               0.008548,               0.008548,               0.008548
                     46,                 1.2121,                  1.259,                 1.5829,                0.79243,                0.76246,                0.81858,                0.49677,                 1.2779,                 0.9563,                 1.6157,               0.008515,               0.008515,               0.008515
                     47,                 1.2041,                 1.2583,                 1.5817,                0.79698,                0.73464,                0.81442,                0.48249,                 1.3062,                0.94669,                 1.6295,               0.008482,               0.008482,               0.008482
                     48,                 1.2074,                 1.2407,                 1.5835,                0.78802,                0.74245,                0.80568,                0.49187,                 1.2805,                0.97209,                 1.6056,               0.008449,               0.008449,               0.008449
                     49,                 1.2048,                 1.2329,                 1.5705,                 0.7852,                0.78212,                0.82151,                0.50621,                 1.2588,                0.88492,                 1.5954,               0.008416,               0.008416,               0.008416
                     50,                 1.1871,                 1.2256,                 1.5703,                0.79433,                0.75515,                0.82281,                0.50258,                 1.2652,                0.88643,                 1.5939,               0.008383,               0.008383,               0.008383
                     51,                 1.2039,                 1.2262,                 1.5747,                0.80895,                0.76286,                0.83252,                0.50856,                 1.2547,                0.88244,                 1.5933,                0.00835,                0.00835,                0.00835
                     52,                 1.1893,                 1.2361,                 1.5711,                0.82183,                 0.7514,                0.83012,                0.51329,                 1.2566,                0.89659,                 1.5817,               0.008317,               0.008317,               0.008317
                     53,                 1.1835,                 1.2011,                 1.5534,                0.80423,                0.75559,                  0.823,                0.50184,                 1.2636,                0.89925,                 1.5909,               0.008284,               0.008284,               0.008284
                     54,                  1.182,                 1.1988,                 1.5593,                0.79507,                0.76945,                0.82088,                0.50361,                 1.2602,                0.88243,                 1.5776,               0.008251,               0.008251,               0.008251
                     55,                  1.196,                 1.2158,                  1.567,                0.82082,                0.76536,                0.83031,                0.50932,                 1.2414,                0.88453,                 1.5744,               0.008218,               0.008218,               0.008218
                     56,                 1.1789,                  1.217,                 1.5557,                0.79765,                0.69921,                0.80482,                 0.4867,                 1.2707,                0.90022,                 1.5857,               0.008185,               0.008185,               0.008185
                     57,                 1.1885,                 1.2225,                 1.5589,                0.81159,                0.72797,                0.82525,                0.50031,                 1.2649,                0.91143,                 1.5906,               0.008152,               0.008152,               0.008152
                     58,                 1.1674,                 1.1951,                 1.5432,                0.84454,                0.74581,                0.83418,                0.50986,                 1.2243,                0.88953,                 1.5363,               0.008119,               0.008119,               0.008119
                     59,                 1.1659,                 1.1793,                   1.54,                0.78595,                0.76816,                0.81949,                0.50334,                  1.256,                0.91719,                 1.5739,               0.008086,               0.008086,               0.008086
                     60,                 1.1541,                 1.1836,                  1.535,                0.80707,                0.77654,                0.84004,                0.52601,                 1.2474,                0.84029,                   1.55,               0.008053,               0.008053,               0.008053
                     61,                 1.1491,                  1.181,                 1.5276,                0.80958,                  0.766,                 0.8486,                0.51772,                 1.2452,                 0.8542,                 1.5752,                0.00802,                0.00802,                0.00802
                     62,                 1.1627,                 1.1737,                 1.5329,                0.82398,                0.72346,                0.81949,                0.48634,                 1.2523,                0.93586,                  1.575,               0.007987,               0.007987,               0.007987
                     63,                 1.1581,                 1.1666,                 1.5245,                0.82414,                0.74022,                0.82997,                0.51046,                 1.2322,                0.90198,                 1.5459,               0.007954,               0.007954,               0.007954
                     64,                 1.1328,                 1.1471,                 1.5065,                0.79602,                0.79032,                0.83733,                0.51182,                 1.2237,                 0.8577,                 1.5382,               0.007921,               0.007921,               0.007921
                     65,                 1.1313,                 1.1511,                 1.5092,                0.82204,                0.78911,                0.83978,                 0.5094,                 1.2451,                0.86953,                 1.5634,               0.007888,               0.007888,               0.007888
                     66,                 1.1375,                  1.133,                 1.5139,                0.84447,                0.72801,                0.84139,                0.51795,                 1.2213,                0.89405,                 1.5442,               0.007855,               0.007855,               0.007855
                     67,                 1.1328,                 1.1554,                  1.509,                0.83133,                0.74581,                0.83298,                0.52005,                 1.2312,                0.85676,                 1.5529,               0.007822,               0.007822,               0.007822
                     68,                 1.1257,                 1.1347,                 1.5038,                0.81079,                0.77206,                0.83656,                0.52207,                 1.2146,                0.81939,                 1.5399,               0.007789,               0.007789,               0.007789
